Ref,Name,Sci_key,C_key,Loc,Type,RA,DEC,Vel,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Simbad_Identifier,Ba/Fe,C/Fe
AOK09,S10-14,*,*,DW,RG,"10 13 34.7","'-2 7 57.9",233.86,,,17.64,,16.56,,,15.08,4620,1.2,'-2.71,2.2,[AAS2009]_S_10-14,'-1.31,
AOK09,S11-37,*,*,DW,RG,"10 13 45.48","'-1 56 16.3",221.79,,,17.96,,16.9,,,15.34,4560,1.3,'-2.89,2.2,[AAS2009]_S_11-37,'-1.08,
AOK09,S12-28,*,*,DW,RG,"10 11 17.15","'-2 0 24",201.96,,,17.52,,16.44,,,14.91,4570,1.4,'-2.8,2.7,[AAS2009]_S_12-28,'-0.28,
AOK09,S14-98,*,*,DW,RG,"10 13 24.48","'-2 12 3.5",220.7,,,18.06,,17.06,,,15.61,4730,1.1,'-2.72,2.8,[AAS2009]_S_14-98,'-1.22,
AOK09,S15-19,*,*,DW,RG,"10 11 26.96","'-2 5 41.6",226.05,,,17.54,,16.53,,,14.98,4620,1.2,'-3.15,2.6,[AAS2009]_S_15-19,0.53,
COH09,Draco3053,*,*,DW,RG,"17 19 35.45","57 58 46.6",'-282.6,,18.286,17.303,16.681,15.978,15.274,14.538,14.468,4350,1,'-1.78,2.1,[BFO2002]_Dra_50027,'-0.16,'-0.59
SHE01,Draco11,*,*,DW,RG,"17 20 5.67","57 57 52.7",'-284.28,,18.82,17.469,16.877,16.23,15.506,14.815,14.682,4475,0.8,'-1.7,1.8,[BS61]_11,0.04,
FUL04,Draco119,*,*,DW,RG,"17 20 16.11","57 52 56",,,18.62,17.421,16.859,16.224,15.561,15.122,14.854,4440,0.88,'-2.93,2.4,[BS61]_119,<-2.55,'-0.32
SHE01,Draco119,*,*,DW,RG,"17 20 16.11","57 52 56",,,18.62,17.421,16.859,16.224,15.561,15.122,14.854,4370,0.15,'-2.95,2.8,[BS61]_119,<-0.07,
SHE01,Draco24,*,*,DW,RG,"17 19 58.89","57 57 20.9",,,18.37,17.07,16.5,15.77,14.876,14.163,14.155,4290,0.8,'-2.34,2,[BS61]_24,'-1.26,
SHE01,Draco267,*,*,DW,RG,"17 19 44.73","57 57 37",,,18.53,16.972,16.283,15.556,14.742,13.921,13.89,4180,0.6,'-1.65,1.95,[BS61]_267,0.34,
COH09,DracoXI-2,*,*,DW,RG,"17 19 17.52","58 1 7.4",,,18.173,16.84,,15.35,,,,4350,0.6,'-2.04,2.4,[BSS2004]_Draco_J171917.5+580107.5,'-1.12,'-0.63
AOK09,S11-13,*,*,DW,RG,"10 11 42.991","'-2 3 50.52",224.71,,,17.53,,16.38,15.491,14.771,14.71,4400,0.6,'-2.81,2.4,[BTH2011]_165,'-1.3,
KOC08,Her2,*,*,UF,RG,"16 30 57.24","12 47 20.3",,,,,,,,,,4270,0.69,'-2.07,2.5,[KCG2013]_Herc_308_205,<-2.1,
SHE03,Fnx12,*,*,DW,RG,"2 40 10.016","'-34 29 58.94",52.47,,19.76,18.2,18.06,16.75,15.937,15.198,14.977,4150,0,'-1.58,2.1,[KGS2010]_For_1,'-0.12,
KOC08,Her3,*,*,UF,RG,"16 31 22.95","12 44 48",41.73,,,,,,,,,4340,0.91,'-2.09,2.5,[KMG2008]_Her-3,<-2.06,
JI16a,J135751.2+125137.0,*,*,UF,RG,"13 57 51.184","12 51 36.91",2.33,,,,,,,,,5102,2.2,'-2.86,2,[KWK2009]_15,<-1.5,0.4
JI16a,J135801.4+125105.2,*,*,UF,RG,"13 58 1.425","12 51 5.06",4.07,,,,,,,,,5192,2.6,'-2.87,1.65,[KWK2009]_7,<-1.3,0.5
JI16a,J135759.7+125426.4,*,*,UF,RG,"13 57 59.743","12 54 26.16",1.87,,,,,,,,,4936,1.8,'-2.63,2.05,[KWK2009]_9,<-1.7,0.32
PRE00,CS29518-039,*,*,HA,MS,"1 22 45.579","'-28 24 29.84",'-28,,14.57,14.26,,,13.582,13.33,13.35,7050,4.2,'-2.47,2,[PS72]_298,1.38,
SHE01,UMi168,*,*,DW,RG,,,,18.83,17.98,,,,,,,4625,1.3,'-2.16,1.7,[V67]_168,0.11,
SHE01,UMi177,*,*,DW,RG,,,,18.19,16.9,,,,,,,4300,0.4,'-1.99,1.9,[V67]_177,'-0.29,
SHE01,UMi297,*,*,DW,RG,,,,18.48,16.91,,,,,,,4075,0.4,'-1.66,2.3,[V67]_297,0.08,
FUL00,HIP107975,*,*,HA,SG,"21 52 29.91696","28 47 36.7464",18.93,5.82,5.95,5.53,,,4.63,4.441,4.332,6275,3.9,'-0.61,1.5,*_15_Peg,0.21,
FUL00,HIP171,*,*,HA,MS,"0 2 10.15644","27 4 56.1304",'-36.22,6.47,6.42,5.75,5.16,4.73,4.42,4,3.89,5275,4.1,'-0.98,1.05,*_85_Peg,'-0.26,
FUL00,HIP27654,*,*,HA,RG,"5 51 19.29613","'-20 52 44.7232",100.2,5.54,4.83,3.85,2.99,2.43,1.985,1.423,1.314,4550,2.1,'-0.92,1.5,*_del_Lep,'-0.31,
FUL00,HIP14086,*,*,HA,SG,"3 1 37.6369","'-28 5 29.5964",40.72,,6.68,5.85,,,4.364,3.793,3.82,5075,3.6,'-0.69,1.1,*_eps_For,'-0.16,
JON05,HD203608,*,*,HA,MS,"21 26 26.60484","'-65 21 58.3145",'-30.7,4.57,4.7,4.22,3.75,3.45,3.27,2.98,2.91,6063,4.29,'-0.74,1.5,*_gam_Pav,'-0.16,
FUL00,HIP5336,*,*,HA,MS,"1 8 16.3947","54 55 13.2264",'-98.1,5.93,5.86,5.17,4.55,4.13,4.03,3.6,3.51,5250,4.4,'-0.96,0.9,*_mu._Cas,'-0.19,
JON05,LHS520,*,*,HA,SG,"22 24 36.88419","'-72 15 19.486",32.4,,5.94,5.29,,,4.146,3.586,3.543,5255,3.44,'-1.49,1.5,*_nu._Ind,'-0.34,
PRE00,CS22876-021,*,*,HA,SG,"0 1 3.78","'-33 48 15.76",'-99,,14.79,14.48,,,13.789,13.61,13.48,7250,4,'-1.08,2.5,2MASS_J00010378-3348157,0.43,
LAI07,CS22957-022,*,*,HA,RG,"0 1 45.5","'-5 49 46.6",'-31.6,,13.95,13.34,,,11.809,11.391,11.313,5075,2.41,'-3.02,,2MASS_J00014549-0549465,'-0.94,0.43
LAI08,CS22957-022,*,*,HA,RG,"0 1 45.5","'-5 49 46.6",'-31.6,,13.95,13.34,,,11.809,11.391,11.313,5163,2.47,'-2.92,1.6,2MASS_J00014549-0549465,'-1.06,0.24
ROE14b,CS22957-022,*,*,HA,RG,"0 1 45.5","'-5 49 46.6",'-31.6,,13.95,13.34,,,11.809,11.391,11.313,4860,1.65,'-3.28,1.55,2MASS_J00014549-0549465,'-1.19,0.17
ROE10,CS22876-040,*,*,HA,SG,"0 4 52.45","'-34 13 37.3",'-191,,15.49,15.09,15.1,,14.209,13.996,13.849,6280,3.7,'-2.34,1.6,2MASS_J00045244-3413372,0.06,<0.7
ROE14b,CS22876-040,*,*,HA,SG,"0 4 52.45","'-34 13 37.3",'-191,,15.49,15.09,15.1,,14.209,13.996,13.849,6090,3.8,'-2.47,1.45,2MASS_J00045244-3413372,0.1,<0.39
AOK07a,CS29503-010,*,NO,HA,MS,"0 4 55.38","'-24 24 19.31",'-24,,14.209,13.737,13.43,13.128,12.726,12.468,12.433,6500,4.5,'-1.11,1.9,2MASS_J00045537-2424193,1.54,1.08
LI15a,LAMOSTJ0006+1057,*,*,HA,RG,"0 6 17.203","10 57 41.94",,,,,,,11.004,10.47,10.351,4520,0.6,'-3.26,2.2,2MASS_J00061720+1057419,'-1.75,'-0.32
BAR05,HE0005-0002,*,*,HA,RG,"0 8 6.772","0 14 8.93",'-65.4,,15.374,14.552,14.031,13.489,12.907,12.367,12.292,4726,1.58,'-3.06,1.82,2MASS_J00080677+0014089,'-0.03,0.13
BAR05,CS31060-047,*,*,HA,RG,"0 8 7.806","'-15 54 3.84",106.1,,14.62,13.8,13.296,12.784,12.052,11.521,11.44,4749,1.55,'-2.72,2,2MASS_J00080780-1554038,'-1.07,'-0.3
ALL12,CS31070-073,R2,CR,HA,SG,"0 8 51.825","5 26 17.15",,,15.007,14.398,14.243,13.903,13.535,13.258,13.203,6190,3.86,'-2.55,1.5,2MASS_J00085182+0526171,2.28,1.34
COH04,HE0007-1832,*,*,HA,SG,"0 9 52.78","'-18 16 12.5",26.4,,16.3,15.46,15.1,,14.51,14.322,14.242,6515,3.8,'-2.7,1.7,2MASS_J00095277-1816124,0.16,2.56
